time_ns,clk,reset,sw,hsync,vsync,led,vgaR,vgaG,vgaB,pix_en,video_on,x,y
33600195.000,1,0,5,1,1,6,15,15,15,1,1,0,0
33632195.000,1,0,5,1,1,6,15,15,15,1,1,0,1
33664195.000,1,0,5,1,1,6,15,15,15,1,1,0,2
33696195.000,1,0,5,1,1,6,15,15,15,1,1,0,3
33728195.000,1,0,5,1,1,6,15,15,15,1,1,0,4
33760195.000,1,0,5,1,1,6,15,15,15,1,1,0,5
33792195.000,1,0,5,1,1,6,15,15,15,1,1,0,6
33824195.000,1,0,5,1,1,6,15,15,15,1,1,0,7
33856195.000,1,0,5,1,1,6,15,15,15,1,1,0,8
33888195.000,1,0,5,1,1,6,15,15,15,1,1,0,9
33920195.000,1,0,5,1,1,6,15,15,15,1,1,0,10
33952195.000,1,0,5,1,1,6,15,15,15,1,1,0,11
33984195.000,1,0,5,1,1,6,15,15,15,1,1,0,12
34016195.000,1,0,5,1,1,6,15,15,15,1,1,0,13
34048195.000,1,0,5,1,1,6,15,15,15,1,1,0,14
34080195.000,1,0,5,1,1,6,15,15,15,1,1,0,15
34112195.000,1,0,5,1,1,6,15,15,15,1,1,0,16
34144195.000,1,0,5,1,1,6,15,15,15,1,1,0,17
34176195.000,1,0,5,1,1,6,15,15,15,1,1,0,18
34208195.000,1,0,5,1,1,6,15,15,15,1,1,0,19
34240195.000,1,0,5,1,1,6,15,15,15,1,1,0,20
34272195.000,1,0,5,1,1,6,15,15,15,1,1,0,21
34304195.000,1,0,5,1,1,6,15,15,15,1,1,0,22
34336195.000,1,0,5,1,1,6,15,15,15,1,1,0,23
34368195.000,1,0,5,1,1,6,15,15,15,1,1,0,24
34400195.000,1,0,5,1,1,6,15,15,15,1,1,0,25
34432195.000,1,0,5,1,1,6,15,15,15,1,1,0,26
34464195.000,1,0,5,1,1,6,15,15,15,1,1,0,27
34496195.000,1,0,5,1,1,6,15,15,15,1,1,0,28
34528195.000,1,0,5,1,1,6,15,15,15,1,1,0,29
34560195.000,1,0,5,1,1,6,15,15,15,1,1,0,30
34592195.000,1,0,5,1,1,6,15,15,15,1,1,0,31
34624195.000,1,0,5,1,1,6,15,15,15,1,1,0,32
34656195.000,1,0,5,1,1,6,15,15,15,1,1,0,33
34688195.000,1,0,5,1,1,6,15,15,15,1,1,0,34
34720195.000,1,0,5,1,1,6,15,15,15,1,1,0,35
34752195.000,1,0,5,1,1,6,15,15,15,1,1,0,36
34784195.000,1,0,5,1,1,6,15,15,15,1,1,0,37
34816195.000,1,0,5,1,1,6,15,15,15,1,1,0,38
34848195.000,1,0,5,1,1,6,15,15,15,1,1,0,39
34880195.000,1,0,5,1,1,6,15,15,15,1,1,0,40
34912195.000,1,0,5,1,1,6,15,15,15,1,1,0,41
34944195.000,1,0,5,1,1,6,15,15,15,1,1,0,42
34976195.000,1,0,5,1,1,6,15,15,15,1,1,0,43
35008195.000,1,0,5,1,1,6,15,15,15,1,1,0,44
35040195.000,1,0,5,1,1,6,15,15,15,1,1,0,45
35072195.000,1,0,5,1,1,6,15,15,15,1,1,0,46
35104195.000,1,0,5,1,1,6,15,15,15,1,1,0,47
35136195.000,1,0,5,1,1,6,15,15,15,1,1,0,48
35168195.000,1,0,5,1,1,6,15,15,15,1,1,0,49
35200195.000,1,0,5,1,1,6,15,15,15,1,1,0,50
35232195.000,1,0,5,1,1,6,15,15,15,1,1,0,51
35264195.000,1,0,5,1,1,6,15,15,15,1,1,0,52
35296195.000,1,0,5,1,1,6,15,15,15,1,1,0,53
35328195.000,1,0,5,1,1,6,15,15,15,1,1,0,54
35360195.000,1,0,5,1,1,6,15,15,15,1,1,0,55
35392195.000,1,0,5,1,1,6,15,15,15,1,1,0,56
35424195.000,1,0,5,1,1,6,15,15,15,1,1,0,57
35456195.000,1,0,5,1,1,6,15,15,15,1,1,0,58
35488195.000,1,0,5,1,1,6,15,15,15,1,1,0,59
35520195.000,1,0,5,1,1,6,15,15,15,1,1,0,60
35552195.000,1,0,5,1,1,6,15,15,15,1,1,0,61
35584195.000,1,0,5,1,1,6,15,15,15,1,1,0,62
35616195.000,1,0,5,1,1,6,15,15,15,1,1,0,63
35648195.000,1,0,5,1,1,6,15,15,15,1,1,0,64
35680195.000,1,0,5,1,1,6,15,15,15,1,1,0,65
35712195.000,1,0,5,1,1,6,15,15,15,1,1,0,66
35744195.000,1,0,5,1,1,6,15,15,15,1,1,0,67
35776195.000,1,0,5,1,1,6,15,15,15,1,1,0,68
35808195.000,1,0,5,1,1,6,15,15,15,1,1,0,69
35840195.000,1,0,5,1,1,6,15,15,15,1,1,0,70
35872195.000,1,0,5,1,1,6,15,15,15,1,1,0,71
35904195.000,1,0,5,1,1,6,15,15,15,1,1,0,72
35936195.000,1,0,5,1,1,6,15,15,15,1,1,0,73
35968195.000,1,0,5,1,1,6,15,15,15,1,1,0,74
36000195.000,1,0,5,1,1,6,15,15,15,1,1,0,75
36032195.000,1,0,5,1,1,6,15,15,15,1,1,0,76
36064195.000,1,0,5,1,1,6,15,15,15,1,1,0,77
36096195.000,1,0,5,1,1,6,15,15,15,1,1,0,78
36128195.000,1,0,5,1,1,6,15,15,15,1,1,0,79
36160195.000,1,0,5,1,1,6,15,15,15,1,1,0,80
36192195.000,1,0,5,1,1,6,15,15,15,1,1,0,81
36224195.000,1,0,5,1,1,6,15,15,15,1,1,0,82
