time_ns,clk,reset,sw,hsync,vsync,led,vgaR,vgaG,vgaB,pix_en,video_on,x,y
16800195.000,1,0,5,1,1,6,15,15,15,1,1,0,0
16800235.000,1,0,5,1,1,6,15,15,15,1,1,1,0
16800275.000,1,0,5,1,1,6,15,15,15,1,1,2,0
16800315.000,1,0,5,1,1,6,15,15,15,1,1,3,0
16800355.000,1,0,5,1,1,6,15,15,15,1,1,4,0
16800395.000,1,0,5,1,1,6,15,15,15,1,1,5,0
16800435.000,1,0,5,1,1,6,15,15,15,1,1,6,0
16800475.000,1,0,5,1,1,6,15,15,15,1,1,7,0
16800515.000,1,0,5,1,1,6,15,15,15,1,1,8,0
16800555.000,1,0,5,1,1,6,15,15,15,1,1,9,0
16800595.000,1,0,5,1,1,6,15,15,15,1,1,10,0
16800635.000,1,0,5,1,1,6,15,15,15,1,1,11,0
16800675.000,1,0,5,1,1,6,15,15,15,1,1,12,0
16800715.000,1,0,5,1,1,6,15,15,15,1,1,13,0
16800755.000,1,0,5,1,1,6,15,15,15,1,1,14,0
16800795.000,1,0,5,1,1,6,15,15,15,1,1,15,0
16800835.000,1,0,5,1,1,6,15,15,15,1,1,16,0
16800875.000,1,0,5,1,1,6,15,15,15,1,1,17,0
16800915.000,1,0,5,1,1,6,15,15,15,1,1,18,0
16800955.000,1,0,5,1,1,6,15,15,15,1,1,19,0
16800995.000,1,0,5,1,1,6,15,15,15,1,1,20,0
16801035.000,1,0,5,1,1,6,15,15,15,1,1,21,0
16801075.000,1,0,5,1,1,6,15,15,15,1,1,22,0
16801115.000,1,0,5,1,1,6,15,15,15,1,1,23,0
16801155.000,1,0,5,1,1,6,15,15,15,1,1,24,0
16801195.000,1,0,5,1,1,6,15,15,15,1,1,25,0
16801235.000,1,0,5,1,1,6,15,15,15,1,1,26,0
16801275.000,1,0,5,1,1,6,15,15,15,1,1,27,0
16801315.000,1,0,5,1,1,6,15,15,15,1,1,28,0
16801355.000,1,0,5,1,1,6,15,15,15,1,1,29,0
16801395.000,1,0,5,1,1,6,15,15,15,1,1,30,0
16801435.000,1,0,5,1,1,6,15,15,15,1,1,31,0
16801475.000,1,0,5,1,1,6,15,15,15,1,1,32,0
16801515.000,1,0,5,1,1,6,15,15,15,1,1,33,0
16801555.000,1,0,5,1,1,6,15,15,15,1,1,34,0
16801595.000,1,0,5,1,1,6,15,15,15,1,1,35,0
16801635.000,1,0,5,1,1,6,15,15,15,1,1,36,0
16801675.000,1,0,5,1,1,6,15,15,15,1,1,37,0
16801715.000,1,0,5,1,1,6,15,15,15,1,1,38,0
16801755.000,1,0,5,1,1,6,15,15,15,1,1,39,0
16801795.000,1,0,5,1,1,6,15,15,15,1,1,40,0
16801835.000,1,0,5,1,1,6,15,15,15,1,1,41,0
16801875.000,1,0,5,1,1,6,15,15,15,1,1,42,0
16801915.000,1,0,5,1,1,6,15,15,15,1,1,43,0
16801955.000,1,0,5,1,1,6,15,15,15,1,1,44,0
16801995.000,1,0,5,1,1,6,15,15,15,1,1,45,0
16802035.000,1,0,5,1,1,6,15,15,15,1,1,46,0
16802075.000,1,0,5,1,1,6,15,15,15,1,1,47,0
16802115.000,1,0,5,1,1,6,15,15,15,1,1,48,0
16802155.000,1,0,5,1,1,6,15,15,15,1,1,49,0
16802195.000,1,0,5,1,1,6,15,15,15,1,1,50,0
16802235.000,1,0,5,1,1,6,15,15,15,1,1,51,0
16802275.000,1,0,5,1,1,6,15,15,15,1,1,52,0
16802315.000,1,0,5,1,1,6,15,15,15,1,1,53,0
16802355.000,1,0,5,1,1,6,15,15,15,1,1,54,0
16802395.000,1,0,5,1,1,6,15,15,15,1,1,55,0
16802435.000,1,0,5,1,1,6,15,15,15,1,1,56,0
16802475.000,1,0,5,1,1,6,15,15,15,1,1,57,0
