time_ns,clk,reset,pix_en,hsync,vsync,video_on,x,y
0.000,0,1,x,x,x,x,x,x
5.000,1,1,1,1,1,1,0,0
10.000,0,1,1,1,1,1,0,0
15.000,1,1,1,1,1,1,0,0
20.000,0,1,1,1,1,1,0,0
25.000,1,1,1,1,1,1,0,0
30.000,0,1,1,1,1,1,0,0
35.000,1,1,1,1,1,1,0,0
40.000,0,1,1,1,1,1,0,0
45.000,1,1,1,1,1,1,0,0
50.000,0,1,1,1,1,1,0,0
55.000,1,1,1,1,1,1,0,0
60.000,0,1,1,1,1,1,0,0
65.000,1,1,1,1,1,1,0,0
70.000,0,1,1,1,1,1,0,0
75.000,1,1,1,1,1,1,0,0
80.000,0,1,1,1,1,1,0,0
85.000,1,1,1,1,1,1,0,0
90.000,0,1,1,1,1,1,0,0
95.000,1,1,1,1,1,1,0,0
100.000,0,1,1,1,1,1,0,0
105.000,1,1,1,1,1,1,0,0
110.000,0,1,1,1,1,1,0,0
115.000,1,1,1,1,1,1,0,0
120.000,0,1,1,1,1,1,0,0
125.000,1,1,1,1,1,1,0,0
130.000,0,1,1,1,1,1,0,0
135.000,1,1,1,1,1,1,0,0
140.000,0,1,1,1,1,1,0,0
145.000,1,1,1,1,1,1,0,0
150.000,0,1,1,1,1,1,0,0
155.000,1,1,1,1,1,1,0,0
160.000,0,1,1,1,1,1,0,0
165.000,1,1,1,1,1,1,0,0
170.000,0,1,1,1,1,1,0,0
175.000,1,1,1,1,1,1,0,0
180.000,0,1,1,1,1,1,0,0
185.000,1,1,1,1,1,1,0,0
190.000,0,1,1,1,1,1,0,0
195.000,1,1,1,1,1,1,0,0
200.000,0,0,0,1,1,1,1,0
205.000,1,0,0,1,1,1,1,0
210.000,0,0,0,1,1,1,1,0
215.000,1,0,0,1,1,1,1,0
220.000,0,0,0,1,1,1,1,0
225.000,1,0,0,1,1,1,1,0
230.000,0,0,1,1,1,1,1,0
235.000,1,0,1,1,1,1,1,0
240.000,0,0,0,1,1,1,2,0
245.000,1,0,0,1,1,1,2,0
250.000,0,0,0,1,1,1,2,0
255.000,1,0,0,1,1,1,2,0
260.000,0,0,0,1,1,1,2,0
265.000,1,0,0,1,1,1,2,0
270.000,0,0,1,1,1,1,2,0
275.000,1,0,1,1,1,1,2,0
280.000,0,0,0,1,1,1,3,0
285.000,1,0,0,1,1,1,3,0
290.000,0,0,0,1,1,1,3,0
295.000,1,0,0,1,1,1,3,0
300.000,0,0,0,1,1,1,3,0
305.000,1,0,0,1,1,1,3,0
310.000,0,0,1,1,1,1,3,0
315.000,1,0,1,1,1,1,3,0
320.000,0,0,0,1,1,1,4,0
325.000,1,0,0,1,1,1,4,0
330.000,0,0,0,1,1,1,4,0
335.000,1,0,0,1,1,1,4,0
340.000,0,0,0,1,1,1,4,0
345.000,1,0,0,1,1,1,4,0
350.000,0,0,1,1,1,1,4,0
355.000,1,0,1,1,1,1,4,0
360.000,0,0,0,1,1,1,5,0
365.000,1,0,0,1,1,1,5,0
370.000,0,0,0,1,1,1,5,0
375.000,1,0,0,1,1,1,5,0
380.000,0,0,0,1,1,1,5,0
385.000,1,0,0,1,1,1,5,0
390.000,0,0,1,1,1,1,5,0
395.000,1,0,1,1,1,1,5,0
400.000,0,0,0,1,1,1,6,0
405.000,1,0,0,1,1,1,6,0
410.000,0,0,0,1,1,1,6,0
415.000,1,0,0,1,1,1,6,0
420.000,0,0,0,1,1,1,6,0
425.000,1,0,0,1,1,1,6,0
430.000,0,0,1,1,1,1,6,0
435.000,1,0,1,1,1,1,6,0
440.000,0,0,0,1,1,1,7,0
445.000,1,0,0,1,1,1,7,0
450.000,0,0,0,1,1,1,7,0
455.000,1,0,0,1,1,1,7,0
460.000,0,0,0,1,1,1,7,0
465.000,1,0,0,1,1,1,7,0
470.000,0,0,1,1,1,1,7,0
475.000,1,0,1,1,1,1,7,0
480.000,0,0,0,1,1,1,8,0
485.000,1,0,0,1,1,1,8,0
490.000,0,0,0,1,1,1,8,0
495.000,1,0,0,1,1,1,8,0
500.000,0,0,0,1,1,1,8,0
505.000,1,0,0,1,1,1,8,0
510.000,0,0,1,1,1,1,8,0
515.000,1,0,1,1,1,1,8,0
520.000,0,0,0,1,1,1,9,0
